"product_id;product_name;product_category;brand;package_quantity;package_unit;price;"
currency
"P001;lapte zuzu;lactate;Zuzu;1;l;10.00;RON"
"P003;iaurt grecesc;lactate;Olympus;0.4;kg;11.70;RON"
"P006;ouã mãrimea M;ouã;Ferma Veche;10;buc;13.60;RON"
"P009;brânzã telemea;lactate;Hochland;0.3;kg;13.00;RON"
"P012;pâine albã;panifica?ie;K-Classic;500;g;3.55;RON"
"P015;ro?ii cherry;legume ?i fructe;K-Bio;250;g;7.10;RON"
"P018;piept pui;carne;Agricola;1;kg;28.00;RON"
"P020;spaghetti nr.5;paste fãinoase;Barilla;500;g;5.85;RON"
"P022;zahãr tos;alimente de bazã;Mãrgãritar;1;kg;4.45;RON"
"P025;apã platã;bãuturi;Dorna;2;l;5.25;RON"
"P027;banane;legume ?i fructe;Generic;1;kg;6.25;RON"
"P029;ulei floarea-soarelui;alimente de bazã;Floriol;1;l;9.60;RON"
"P032;biscui?i cu unt;gustãri;Milka;0.2;kg;7.40;RON"
"P035;cafea mãcinatã;cafea;Jacobs;0.25;kg;23.10;RON"
"P038;detergent lichid;produse de menaj;Ariel;2.5;l;50.80;RON"
"P041;?ampon pãr gras;îngrijire personalã;Elseve;400;ml;18.10;RON"
"P044;hârtie igienicã 3 straturi;produse de menaj;Pufina;10;role;19.30;RON"
"P047;piper negru mãcinat;condimente;Fuchs;50;g;6.15;RON"
"P050;vin alb demisec;bãuturi;Recas;0.75;l;24.10;RON"
"P053;ciocolatã neagrã 70%;gustãri;Heidi;100;g;4.15;RON"
"P056;cartofi albi;legume ?i fructe;Generic;1;kg;3.10;RON"
"P058;ceapã galbenã;legume ?i fructe;Generic;1;kg;2.95;RON"
"P059;morcovi;legume ?i fructe;Generic;0.5;kg;2.40;RON"
"P061;suc portocale;bãuturi;Santorini;1;l;7.60;RON"
"P063;ca?caval;lactate;K-Classic;0.25;kg;14.80;RON"
