"product_id;product_name;brand;package_quantity;package_unit;product_category;from"
"_date;to_date;percentage_of_discount"
"P001;lapte zuzu;Zuzu;1;l;lactate;2025-05-08;2025-05-14;9"
"P006;ouã mãrimea M;Ferma Veche;10;buc;ouã;2025-05-08;2025-05-14;11"
"P012;pâine albã;K-Classic;500;g;panifica?ie;2025-05-09;2025-05-15;7"
"P022;zahãr tos;Mãrgãritar;1;kg;alimente de bazã;2025-05-10;2025-05-16;6"
"P029;ulei floarea-soarelui;Floriol;1;l;alimente de bazã;2025-05-08;2025-05-14;8"
"P032;biscui?i cu unt;Milka;0.2;kg;gustãri;2025-05-09;2025-05-15;12"
"P035;cafea mãcinatã;Jacobs;0.25;kg;cafea;2025-05-10;2025-05-16;11"
"P044;hârtie igienicã 3 straturi;Pufina;10;role;produse de menaj;2025-05-08;2025-05-"
"14;13"
"P047;piper negru mãcinat;Fuchs;50;g;condimente;2025-05-09;2025-05-15;10"
"P058;ceapã galbenã;Generic;1;kg;legume ?i fructe;2025-05-10;2025-05-16;5"
"P061;suc portocale;Santorini;1;l;bãuturi;2025-05-08;2025-05-14;9"
"P063;ca?caval;K-Classic;0.25;kg;lactate;2025-05-09;2025-05-15;12"
