"product_id;product_name;brand;package_quantity;package_unit;product_category;from"
"_date;to_date;percentage_of_discount"
"P004;iaurt grecesc;Proxi;0.4;kg;lactate;2025-05-08;2025-05-14;9"
"P007;ouã mãrimea M;Din Ogradã;10;buc;ouã;2025-05-08;2025-05-14;10"
"P020;spaghetti nr.5;Barilla;500;g;paste fãinoase;2025-05-09;2025-05-15;15"
"P024;apã platã;Aqua Carpatica;2;l;bãuturi;2025-05-10;2025-05-16;7"
"P030;ulei floarea-soarelui;Spornic;1;l;alimente de bazã;2025-05-08;2025-05-14;6"
"P039;detergent lichid;Dero;2.5;l;produse de menaj;2025-05-09;2025-05-15;18"
"P045;hârtie igienicã 3 straturi;Motto;10;role;produse de menaj;2025-05-10;2025-05-"
"16;12"
"P051;vin alb demisec;Cotnari;0.75;l;bãuturi;2025-05-08;2025-05-14;10"
"P059;morcovi;Generic;0.5;kg;legume ?i fructe;2025-05-09;2025-05-15;5"
"P067;orez bob lung;Deroni;1;kg;alimente de bazã;2025-05-10;2025-05-16;8"
"P068;iaurt de bãut;Activia;0.33;kg;lactate;2025-05-08;2025-05-14;10"
"P069;pastã de din?i;Colgate;100;ml;îngrijire personalã;2025-05-09;2025-05-15;15"
"P070;bere blondã;Ursus;0.5;l;bãuturi;2025-05-10;2025-05-16;6"
